"日期","收盘","开盘","高","低","涨跌幅"
"2025-3-31","1.626","1.626","1.626","1.626","0.00%"
"2025-3-28","1.626","1.626","1.632","1.626","-0.37%"
"2025-3-27","1.632","1.632","1.634","1.632","-0.12%"
"2025-3-26","1.634","1.634","1.636","1.634","-0.12%"
"2025-3-25","1.636","1.636","1.636","1.636","-0.49%"
"2025-3-24","1.644","1.644","1.644","1.644","0.74%"
"2025-3-21","1.632","1.632","1.632","1.632","-0.61%"
"2025-3-20","1.642","1.642","1.644","1.642","-0.12%"
"2025-3-19","1.644","1.644","1.644","1.644","-0.12%"
"2025-3-18","1.646","1.646","1.646","1.646","0.61%"
"2025-3-17","1.636","1.636","1.636","1.636","-0.30%"
"2025-3-14","1.641","1.641","1.641","1.641","1.86%"
"2025-3-13","1.611","1.611","1.611","1.611","-0.31%"
"2025-3-12","1.616","1.616","1.616","1.616","-0.25%"
"2025-3-11","1.620","1.620","1.620","1.620","0.19%"
"2025-3-10","1.617","1.617","1.617","1.617","0.00%"
"2025-3-7","1.617","1.617","1.617","1.617","-0.12%"
"2025-3-6","1.619","1.619","1.619","1.619","0.62%"
"2025-3-5","1.609","1.609","1.609","1.609","0.63%"
"2025-3-4","1.599","1.599","1.599","1.599","0.19%"
"2025-3-3","1.596","1.596","1.596","1.596","0.63%"
"2025-2-28","1.586","1.586","1.586","1.586","-1.55%"
"2025-2-27","1.611","1.611","1.611","1.611","0.75%"
"2025-2-26","1.599","1.599","1.599","1.599","1.33%"
"2025-2-25","1.578","1.578","1.578","1.578","-0.50%"
"2025-2-24","1.586","1.586","1.586","1.586","0.57%"
"2025-2-21","1.577","1.577","1.577","1.577","0.38%"
"2025-2-20","1.571","1.571","1.571","1.571","-0.25%"
"2025-2-19","1.575","1.575","1.575","1.575","0.57%"
"2025-2-18","1.566","1.566","1.566","1.566","-0.57%"
"2025-2-17","1.575","1.575","1.575","1.575","-0.13%"
"2025-2-14","1.577","1.577","1.577","1.577","0.38%"
"2025-2-13","1.571","1.571","1.571","1.571","-1.13%"
"2025-2-12","1.589","1.589","1.589","1.589","0.76%"
"2025-2-11","1.577","1.577","1.577","1.577","-0.50%"
"2025-2-10","1.585","1.585","1.585","1.585","-0.88%"
"2025-2-7","1.599","1.599","1.599","1.599","1.01%"
"2025-2-6","1.583","1.583","1.583","1.583","1.41%"
"2025-2-5","1.561","1.561","1.561","1.561","-1.64%"
"2025-1-27","1.587","1.587","1.587","1.587","-0.38%"
"2025-1-24","1.593","1.593","1.593","1.593","1.14%"
"2025-1-23","1.575","1.575","1.575","1.575","0.00%"
"2025-1-22","1.575","1.575","1.575","1.575","-0.51%"
"2025-1-21","1.583","1.583","1.583","1.583","0.25%"
"2025-1-20","1.579","1.579","1.579","1.579","1.28%"
"2025-1-17","1.559","1.559","1.559","1.559","1.10%"
"2025-1-16","1.542","1.542","1.542","1.542","0.00%"
"2025-1-15","1.542","1.542","1.542","1.542","-0.45%"
"2025-1-14","1.549","1.549","1.549","1.549","3.40%"
"2025-1-10","1.498","1.498","1.498","1.498","-1.32%"
"2025-1-9","1.518","1.518","1.518","1.518","0.07%"
"2025-1-8","1.517","1.517","1.517","1.517","0.33%"
"2025-1-7","1.512","1.512","1.512","1.512","1.00%"
"2025-1-6","1.497","1.497","1.497","1.497","0.34%"
"2025-1-3","1.492","1.492","1.492","1.492","-1.06%"
"2025-1-2","1.508","1.508","1.508","1.508","-2.39%"
"2024-12-31","1.545","1.545","1.545","1.545","-1.53%"
"2024-12-30","1.569","1.569","1.569","1.569","-0.06%"
"2024-12-27","1.570","1.570","1.570","1.570","0.06%"
"2024-12-26","1.569","1.569","1.569","1.569","0.64%"
"2024-12-25","1.559","1.559","1.559","1.559","-1.20%"
"2024-12-24","1.578","1.578","1.578","1.578","1.35%"
"2024-12-23","1.557","1.557","1.557","1.557","-0.95%"
"2024-12-20","1.572","1.572","1.572","1.572","-0.32%"
"2024-12-19","1.577","1.577","1.577","1.577","0.06%"
"2024-12-18","1.576","1.576","1.576","1.576","0.00%"
"2024-12-17","1.576","1.576","1.576","1.576","-0.69%"
"2024-12-16","1.587","1.587","1.587","1.587","-0.44%"
"2024-12-13","1.594","1.594","1.594","1.594","-1.24%"
"2024-12-12","1.614","1.614","1.614","1.614","0.25%"
"2024-12-11","1.610","1.610","1.610","1.610","0.31%"
"2024-12-10","1.605","1.605","1.605","1.605","0.38%"
"2024-12-9","1.599","1.599","1.599","1.599","0.00%"
"2024-12-6","1.599","1.599","1.599","1.599","1.01%"
"2024-12-5","1.583","1.583","1.583","1.583","0.32%"
"2024-12-4","1.578","1.578","1.578","1.578","-0.94%"
"2024-12-3","1.593","1.593","1.593","1.593","-0.19%"
"2024-12-2","1.596","1.596","1.596","1.596","1.14%"
"2024-11-29","1.578","1.578","1.578","1.578","1.68%"
"2024-11-28","1.552","1.552","1.552","1.552","-0.83%"
"2024-11-27","1.565","1.565","1.565","1.565","2.42%"
"2024-11-26","1.528","1.528","1.528","1.528","-0.59%"
"2024-11-25","1.537","1.537","1.537","1.537","1.12%"
"2024-11-22","1.520","1.520","1.520","1.520","-3.43%"
"2024-11-21","1.574","1.574","1.574","1.574","-0.13%"
"2024-11-20","1.576","1.576","1.576","1.576","0.83%"
"2024-11-19","1.563","1.563","1.563","1.563","1.10%"
"2024-11-18","1.546","1.546","1.546","1.546","-0.45%"
"2024-11-15","1.553","1.553","1.553","1.553","-2.08%"
"2024-11-14","1.586","1.586","1.586","1.586","-2.22%"
"2024-11-13","1.622","1.622","1.622","1.622","0.06%"
"2024-11-12","1.621","1.621","1.621","1.621","-0.37%"
"2024-11-11","1.627","1.627","1.627","1.627","0.56%"
"2024-11-8","1.618","1.618","1.618","1.618","-1.46%"
"2024-11-7","1.642","1.642","1.642","1.642","1.73%"
"2024-11-6","1.614","1.614","1.614","1.614","0.75%"
"2024-11-5","1.602","1.602","1.602","1.602","1.39%"
"2024-11-4","1.580","1.580","1.580","1.580","0.57%"
"2024-11-1","1.571","1.571","1.571","1.571","-0.25%"
"2024-10-31","1.575","1.575","1.575","1.575","-0.44%"
"2024-10-30","1.582","1.582","1.582","1.582","-0.50%"
"2024-10-29","1.590","1.590","1.590","1.590","-1.30%"
"2024-10-28","1.611","1.611","1.611","1.611","0.44%"
"2024-10-25","1.604","1.604","1.604","1.604","1.01%"
"2024-10-24","1.588","1.588","1.588","1.588","-1.43%"
"2024-10-23","1.611","1.611","1.611","1.611","-0.06%"
"2024-10-22","1.612","1.612","1.612","1.612","0.94%"
"2024-10-21","1.597","1.597","1.597","1.597","0.31%"
"2024-10-18","1.592","1.592","1.592","1.592","1.79%"
"2024-10-17","1.564","1.564","1.564","1.564","-2.07%"
"2024-10-16","1.597","1.597","1.597","1.597","0.76%"
"2024-10-15","1.585","1.585","1.585","1.585","-2.40%"
"2024-10-14","1.624","1.624","1.624","1.624","1.56%"
"2024-10-11","1.599","1.599","1.599","1.599","-2.02%"
"2024-10-10","1.632","1.632","1.632","1.632","1.12%"
"2024-10-9","1.614","1.614","1.614","1.614","-4.21%"
"2024-10-8","1.685","1.685","1.685","1.685","3.63%"
"2024-9-30","1.626","1.626","1.626","1.626","7.97%"
"2024-9-27","1.506","1.506","1.506","1.506","3.29%"
"2024-9-26","1.458","1.458","1.458","1.458","2.60%"
"2024-9-25","1.421","1.421","1.421","1.421","0.57%"
"2024-9-24","1.413","1.413","1.413","1.413","2.10%"
"2024-9-23","1.384","1.384","1.384","1.384","-0.36%"
"2024-9-20","1.389","1.389","1.389","1.389","-1.00%"
"2024-9-19","1.403","1.403","1.403","1.403","-0.78%"
"2024-9-18","1.414","1.414","1.414","1.414","1.65%"
"2024-9-13","1.391","1.391","1.391","1.391","-0.57%"
"2024-9-12","1.399","1.399","1.399","1.399","-0.29%"
"2024-9-11","1.403","1.403","1.403","1.403","1.37%"
"2024-9-10","1.384","1.384","1.384","1.384","0.14%"
"2024-9-9","1.382","1.382","1.382","1.382","-1.07%"
"2024-9-6","1.397","1.397","1.397","1.397","-1.27%"
"2024-9-5","1.415","1.415","1.415","1.415","-0.21%"
"2024-9-4","1.418","1.418","1.418","1.418","-0.21%"
"2024-9-3","1.421","1.421","1.421","1.421","1.94%"
"2024-9-2","1.394","1.394","1.394","1.394","-1.83%"
"2024-8-30","1.420","1.420","1.420","1.420","1.07%"
"2024-8-29","1.405","1.405","1.405","1.405","0.29%"
"2024-8-28","1.401","1.401","1.401","1.401","0.07%"
"2024-8-27","1.400","1.400","1.400","1.400","-0.99%"
"2024-8-26","1.414","1.414","1.414","1.414","0.00%"
"2024-8-23","1.414","1.414","1.414","1.414","0.21%"
"2024-8-22","1.411","1.411","1.411","1.411","0.21%"
"2024-8-21","1.408","1.408","1.408","1.408","-0.49%"
"2024-8-20","1.415","1.415","1.415","1.415","-1.12%"
"2024-8-19","1.431","1.431","1.431","1.431","-0.07%"
"2024-8-16","1.432","1.432","1.432","1.432","0.21%"
"2024-8-15","1.429","1.429","1.429","1.429","-0.07%"
"2024-8-14","1.430","1.430","1.430","1.430","-1.11%"
"2024-8-13","1.446","1.446","1.446","1.446","0.42%"
"2024-8-12","1.440","1.440","1.440","1.440","0.07%"
"2024-8-9","1.439","1.439","1.439","1.439","-0.76%"
"2024-8-8","1.450","1.450","1.450","1.450","-0.41%"
"2024-8-7","1.456","1.456","1.456","1.456","0.34%"
"2024-8-6","1.451","1.451","1.451","1.451","0.21%"
"2024-8-5","1.448","1.448","1.448","1.448","-2.36%"
"2024-8-2","1.483","1.483","1.483","1.483","-1.53%"
"2024-8-1","1.506","1.506","1.506","1.506","-0.07%"
"2024-7-31","1.507","1.507","1.507","1.507","2.45%"
"2024-7-30","1.471","1.471","1.471","1.471","-0.54%"
"2024-7-29","1.479","1.479","1.479","1.479","0.20%"
"2024-7-26","1.476","1.476","1.476","1.476","1.03%"
"2024-7-25","1.461","1.461","1.461","1.461","-0.68%"
"2024-7-24","1.471","1.471","1.471","1.471","-0.68%"
"2024-7-23","1.481","1.481","1.481","1.481","-2.69%"
"2024-7-22","1.522","1.522","1.522","1.522","0.33%"
"2024-7-19","1.517","1.517","1.517","1.517","-0.13%"
"2024-7-18","1.519","1.519","1.519","1.519","1.00%"
"2024-7-17","1.504","1.504","1.504","1.504","-1.57%"
"2024-7-16","1.528","1.528","1.528","1.528","-0.65%"
"2024-7-15","1.538","1.538","1.538","1.538","-1.09%"
"2024-7-12","1.555","1.555","1.555","1.555","-0.96%"
"2024-7-11","1.570","1.570","1.570","1.570","1.29%"
"2024-7-10","1.550","1.550","1.550","1.550","-0.83%"
"2024-7-9","1.563","1.563","1.563","1.563","1.96%"
"2024-7-8","1.533","1.533","1.533","1.533","-0.13%"
"2024-7-5","1.535","1.535","1.535","1.535","0.33%"
"2024-7-4","1.530","1.530","1.530","1.530","-0.13%"
"2024-7-3","1.532","1.532","1.532","1.532","-1.48%"
"2024-7-2","1.555","1.555","1.555","1.555","-1.95%"
"2024-7-1","1.586","1.586","1.586","1.586","0.83%"
"2024-6-30","1.573","1.573","1.573","1.573","-0.06%"
"2024-6-28","1.574","1.574","1.574","1.574","2.27%"
"2024-6-27","1.539","1.539","1.539","1.539","-1.41%"
"2024-6-26","1.561","1.561","1.561","1.561","0.52%"
"2024-6-25","1.553","1.553","1.553","1.553","-0.51%"
"2024-6-24","1.561","1.561","1.561","1.561","-1.70%"
"2024-6-21","1.588","1.588","1.588","1.588","0.38%"
"2024-6-20","1.582","1.582","1.582","1.582","-0.44%"
"2024-6-19","1.589","1.589","1.589","1.589","-1.49%"
"2024-6-18","1.613","1.613","1.613","1.613","1.13%"
"2024-6-17","1.595","1.595","1.595","1.595","0.38%"
"2024-6-14","1.589","1.589","1.589","1.589","0.06%"
"2024-6-13","1.588","1.588","1.588","1.588","0.00%"
"2024-6-12","1.588","1.588","1.588","1.588","0.51%"
"2024-6-11","1.580","1.580","1.580","1.580","-0.50%"
"2024-6-7","1.588","1.588","1.588","1.588","-0.38%"
"2024-6-6","1.594","1.594","1.594","1.594","-0.69%"
"2024-6-5","1.605","1.605","1.605","1.605","-1.53%"
"2024-6-4","1.630","1.630","1.630","1.630","1.37%"
"2024-6-3","1.608","1.608","1.608","1.608","0.19%"
"2024-5-31","1.605","1.605","1.605","1.605","-0.62%"
"2024-5-30","1.615","1.615","1.615","1.615","-0.19%"
"2024-5-29","1.618","1.618","1.618","1.618","0.00%"
"2024-5-28","1.618","1.618","1.618","1.618","-0.92%"
"2024-5-27","1.633","1.633","1.633","1.633","1.62%"
"2024-5-24","1.607","1.607","1.607","1.607","-0.19%"
"2024-5-23","1.610","1.610","1.610","1.610","-1.17%"
"2024-5-22","1.629","1.629","1.629","1.629","-1.33%"
"2024-5-21","1.651","1.651","1.651","1.651","-0.30%"
"2024-5-20","1.656","1.656","1.656","1.656","0.00%"
"2024-5-17","1.656","1.656","1.656","1.656","-0.30%"
"2024-5-16","1.661","1.661","1.661","1.661","-0.78%"
"2024-5-15","1.674","1.674","1.674","1.674","-1.18%"
"2024-5-14","1.694","1.694","1.694","1.694","0.06%"
"2024-5-13","1.693","1.693","1.693","1.693","0.83%"
"2024-5-10","1.679","1.679","1.679","1.679","0.06%"
"2024-5-9","1.678","1.678","1.678","1.678","1.27%"
"2024-5-8","1.657","1.657","1.657","1.657","-0.72%"
"2024-5-7","1.669","1.669","1.669","1.669","0.00%"
"2024-5-6","1.669","1.669","1.669","1.669","2.33%"
"2024-4-30","1.631","1.631","1.631","1.631","0.18%"
"2024-4-29","1.628","1.628","1.628","1.628","0.99%"
"2024-4-26","1.612","1.612","1.612","1.612","1.19%"
"2024-4-25","1.593","1.593","1.593","1.593","-0.81%"
"2024-4-24","1.606","1.606","1.606","1.606","1.07%"
"2024-4-23","1.589","1.589","1.589","1.589","-1.79%"
"2024-4-22","1.618","1.618","1.618","1.618","0.56%"
"2024-4-19","1.609","1.609","1.609","1.609","-0.80%"
"2024-4-18","1.622","1.622","1.622","1.622","0.87%"
"2024-4-17","1.608","1.608","1.608","1.608","2.49%"
"2024-4-16","1.569","1.569","1.569","1.569","-2.24%"
"2024-4-15","1.605","1.605","1.605","1.605","1.33%"
"2024-4-12","1.584","1.584","1.584","1.584","0.06%"
"2024-4-11","1.583","1.583","1.583","1.583","1.02%"
"2024-4-10","1.567","1.567","1.567","1.567","-1.01%"
"2024-4-9","1.583","1.583","1.583","1.583","0.06%"
"2024-4-8","1.582","1.582","1.582","1.582","-1.25%"
"2024-4-3","1.602","1.602","1.602","1.602","0.00%"
"2024-4-2","1.602","1.602","1.602","1.602","-0.56%"
"2024-4-1","1.611","1.611","1.611","1.611","1.90%"
"2024-3-29","1.581","1.581","1.581","1.581","1.15%"
"2024-3-28","1.563","1.563","1.563","1.563","0.97%"
"2024-3-27","1.548","1.548","1.548","1.548","-1.59%"
"2024-3-26","1.573","1.573","1.573","1.573","0.19%"
"2024-3-25","1.570","1.570","1.570","1.570","-1.26%"
"2024-3-22","1.590","1.590","1.590","1.590","-1.18%"
"2024-3-21","1.609","1.609","1.609","1.609","-0.43%"
"2024-3-20","1.616","1.616","1.616","1.616","0.50%"
"2024-3-19","1.608","1.608","1.608","1.608","-0.56%"
"2024-3-18","1.617","1.617","1.617","1.617","1.06%"
"2024-3-15","1.600","1.600","1.600","1.600","0.88%"
"2024-3-14","1.586","1.586","1.586","1.586","-0.25%"
"2024-3-13","1.590","1.590","1.590","1.590","0.13%"
"2024-3-12","1.588","1.588","1.588","1.588","0.32%"
"2024-3-11","1.583","1.583","1.583","1.583","1.41%"
"2024-3-8","1.561","1.561","1.561","1.561","1.36%"
"2024-3-7","1.540","1.540","1.540","1.540","-0.65%"
"2024-3-6","1.550","1.550","1.550","1.550","-0.19%"
"2024-3-5","1.553","1.553","1.553","1.553","0.13%"
"2024-3-4","1.551","1.551","1.551","1.551","1.24%"
"2024-3-1","1.532","1.532","1.532","1.532","0.86%"
"2024-2-29","1.519","1.519","1.519","1.519","3.33%"
"2024-2-28","1.470","1.470","1.470","1.470","-3.86%"
"2024-2-27","1.529","1.529","1.529","1.529","1.93%"
"2024-2-26","1.500","1.500","1.500","1.500","0.87%"
"2024-2-23","1.487","1.487","1.487","1.487","0.41%"
"2024-2-22","1.481","1.481","1.481","1.481","0.41%"
"2024-2-21","1.475","1.475","1.475","1.475","-0.14%"
"2024-2-20","1.477","1.477","1.477","1.477","0.61%"
"2024-2-19","1.468","1.468","1.468","1.468","1.66%"
"2024-2-8","1.444","1.444","1.444","1.444","1.05%"
"2024-2-7","1.429","1.429","1.429","1.429","3.03%"
"2024-2-6","1.387","1.387","1.387","1.387","4.21%"
"2024-2-5","1.331","1.331","1.331","1.331","-1.26%"
"2024-2-2","1.348","1.348","1.348","1.348","-1.03%"
"2024-2-1","1.362","1.362","1.362","1.362","-0.37%"
"2024-1-31","1.367","1.367","1.367","1.367","-1.58%"
"2024-1-30","1.389","1.389","1.389","1.389","-1.49%"
"2024-1-29","1.410","1.410","1.410","1.410","-1.26%"
"2024-1-26","1.428","1.428","1.428","1.428","-0.49%"
"2024-1-25","1.435","1.435","1.435","1.435","2.06%"
"2024-1-24","1.406","1.406","1.406","1.406","0.93%"
"2024-1-23","1.393","1.393","1.393","1.393","0.72%"
"2024-1-22","1.383","1.383","1.383","1.383","-4.62%"
"2024-1-19","1.450","1.450","1.450","1.450","-0.82%"
"2024-1-18","1.462","1.462","1.462","1.462","-0.41%"
"2024-1-17","1.468","1.468","1.468","1.468","-1.81%"
"2024-1-16","1.495","1.495","1.495","1.495","0.40%"
"2024-1-15","1.489","1.489","1.489","1.489","0.40%"
"2024-1-12","1.483","1.483","1.483","1.483","0.07%"
"2024-1-11","1.482","1.482","1.482","1.482","0.88%"
"2024-1-10","1.469","1.469","1.469","1.469","-0.54%"
"2024-1-9","1.477","1.477","1.477","1.477","0.14%"
"2024-1-8","1.475","1.475","1.475","1.475","-1.40%"
"2024-1-5","1.496","1.496","1.496","1.496","-1.19%"
"2024-1-4","1.514","1.514","1.514","1.514","-0.07%"
"2024-1-3","1.515","1.515","1.515","1.515","-0.53%"
"2024-1-2","1.523","1.523","1.523","1.523","-0.26%"
"2023-12-31","1.527","1.527","1.527","1.527","0.00%"
"2023-12-29","1.527","1.527","1.527","1.527","1.19%"
"2023-12-28","1.509","1.509","1.509","1.509","0.13%"
"2023-12-27","1.507","1.507","1.507","1.507","1.14%"
"2023-12-26","1.490","1.490","1.490","1.490","-1.13%"
"2023-12-25","1.507","1.507","1.507","1.507","0.53%"
"2023-12-22","1.499","1.499","1.499","1.499","-0.93%"
"2023-12-21","1.513","1.513","1.513","1.513","0.40%"
"2023-12-20","1.507","1.507","1.507","1.507","-1.44%"
"2023-12-19","1.529","1.529","1.529","1.529","0.07%"
"2023-12-18","1.528","1.528","1.528","1.528","-0.26%"
"2023-12-15","1.532","1.532","1.532","1.532","-0.65%"
"2023-12-14","1.542","1.542","1.542","1.542","-0.58%"
"2023-12-13","1.551","1.551","1.551","1.551","-0.45%"
"2023-12-12","1.558","1.558","1.558","1.558","0.26%"
"2023-12-11","1.554","1.554","1.554","1.554","0.71%"
"2023-12-8","1.543","1.543","1.543","1.543","0.06%"
"2023-12-7","1.542","1.542","1.542","1.542","-0.06%"
"2023-12-6","1.543","1.543","1.543","1.543","0.19%"
"2023-12-5","1.540","1.540","1.540","1.540","-1.47%"
"2023-12-4","1.563","1.563","1.563","1.563","-0.38%"
"2023-12-1","1.569","1.569","1.569","1.569","0.26%"
"2023-11-30","1.565","1.565","1.565","1.565","0.38%"
"2023-11-29","1.559","1.559","1.559","1.559","0.32%"
"2023-11-28","1.554","1.554","1.554","1.554","0.52%"
"2023-11-27","1.546","1.546","1.546","1.546","0.32%"
"2023-11-24","1.541","1.541","1.541","1.541","-0.71%"
"2023-11-23","1.552","1.552","1.552","1.552","0.98%"
"2023-11-22","1.537","1.537","1.537","1.537","-0.71%"
"2023-11-21","1.548","1.548","1.548","1.548","-0.13%"
"2023-11-20","1.550","1.550","1.550","1.550","0.32%"
"2023-11-17","1.545","1.545","1.545","1.545","0.13%"
"2023-11-16","1.543","1.543","1.543","1.543","-0.19%"
"2023-11-15","1.546","1.546","1.546","1.546","0.78%"
"2023-11-14","1.534","1.534","1.534","1.534","0.33%"
"2023-11-13","1.529","1.529","1.529","1.529","0.20%"
"2023-11-10","1.526","1.526","1.526","1.526","-0.07%"
"2023-11-9","1.527","1.527","1.527","1.527","-0.46%"
"2023-11-8","1.534","1.534","1.534","1.534","-0.26%"
"2023-11-7","1.538","1.538","1.538","1.538","-0.45%"
"2023-11-6","1.545","1.545","1.545","1.545","0.65%"
"2023-11-3","1.535","1.535","1.535","1.535","0.52%"
"2023-11-2","1.527","1.527","1.527","1.527","-1.04%"
"2023-11-1","1.543","1.543","1.543","1.543","-0.19%"
"2023-10-31","1.546","1.546","1.546","1.546","0.13%"
"2023-10-30","1.544","1.544","1.544","1.544","-0.58%"
"2023-10-27","1.553","1.553","1.553","1.553","1.64%"
"2023-10-26","1.528","1.528","1.528","1.528","0.39%"
"2023-10-25","1.522","1.522","1.522","1.522","0.20%"
"2023-10-24","1.519","1.519","1.519","1.519","1.27%"
"2023-10-23","1.500","1.500","1.500","1.500","-1.51%"
"2023-10-20","1.523","1.523","1.523","1.523","-0.65%"
"2023-10-19","1.533","1.533","1.533","1.533","-1.22%"
"2023-10-18","1.552","1.552","1.552","1.552","-1.52%"
"2023-10-17","1.576","1.576","1.576","1.576","-0.38%"
"2023-10-16","1.582","1.582","1.582","1.582","-0.57%"
"2023-10-13","1.591","1.591","1.591","1.591","-0.56%"
"2023-10-12","1.600","1.600","1.600","1.600","0.44%"
"2023-10-11","1.593","1.593","1.593","1.593","0.13%"
"2023-10-10","1.591","1.591","1.591","1.591","-1.30%"
"2023-10-9","1.612","1.612","1.612","1.612","-0.80%"
"2023-9-28","1.625","1.625","1.625","1.625","0.49%"
"2023-9-27","1.617","1.617","1.617","1.617","0.50%"
"2023-9-26","1.609","1.609","1.609","1.609","-0.37%"
"2023-9-25","1.615","1.615","1.615","1.615","-0.12%"
"2023-9-22","1.617","1.617","1.617","1.617","1.25%"
"2023-9-21","1.597","1.597","1.597","1.597","-0.87%"
