"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-2-26","52.98","53.14","53.57","52.72","1.59M","0.19%"
"2025-2-25","52.88","53.50","53.86","52.83","1.73M","-0.97%"
"2025-2-24","53.40","52.33","53.99","52.02","2.51M","2.03%"
"2025-2-21","52.34","53.10","53.29","52.31","2.26M","-1.47%"
"2025-2-20","53.12","52.50","53.76","52.50","2.06M","0.45%"
"2025-2-19","52.88","52.74","53.08","52.63","1.42M","0.28%"
"2025-2-18","52.73","52.30","53.08","52.22","2.17M","0.63%"
"2025-2-17","52.40","51.91","52.40","51.45","1.83M","0.79%"
"2025-2-14","51.99","51.51","52.10","51.13","1.93M","0.74%"
"2025-2-13","51.61","51.58","52.05","51.57","1.80M","-0.37%"
"2025-2-12","51.80","51.62","51.87","51.31","1.34M","0.15%"
"2025-2-11","51.72","51.33","51.95","51.20","2.89M","0.86%"
"2025-2-10","51.28","51.80","51.80","50.94","2.91M","-1.00%"
"2025-2-7","51.80","52.20","52.34","51.51","3.11M","-0.86%"
"2025-2-6","52.25","52.07","52.59","51.80","1.97M","0.38%"
"2025-2-5","52.05","53.28","53.29","51.73","2.22M","-2.03%"
"2025-1-27","53.13","52.30","53.50","52.05","1.86M","1.20%"
"2025-1-24","52.50","52.39","52.95","51.81","2.17M","-0.77%"
"2025-1-23","52.91","51.89","52.94","51.76","2.41M","2.30%"
"2025-1-22","51.72","52.70","52.95","51.44","2.94M","-2.32%"
"2025-1-21","52.95","53.50","53.70","52.42","1.97M","-0.97%"
"2025-1-20","53.47","53.50","54.05","53.29","1.56M","0.34%"
"2025-1-17","53.29","52.66","53.53","51.81","2.14M","0.85%"
"2025-1-16","52.84","53.29","54.24","52.66","3.03M","-0.84%"
"2025-1-15","53.29","53.35","54.15","52.84","2.18M","-0.62%"
"2025-1-14","53.62","53.02","53.65","52.44","3.47M","0.71%"
"2025-1-13","53.24","53.58","54.30","52.40","2.80M","-1.66%"
"2025-1-10","54.14","55.03","55.03","53.54","3.09M","-1.78%"
"2025-1-9","55.12","56.05","56.05","54.70","3.30M","-1.85%"
"2025-1-8","56.16","54.50","56.50","54.01","4.98M","2.59%"
"2025-1-7","54.74","54.15","54.80","53.60","3.23M","0.68%"
"2025-1-6","54.37","54.00","55.35","53.34","5.34M","0.18%"
"2025-1-3","54.27","53.20","54.90","53.20","4.08M","1.21%"
"2025-1-2","53.62","53.01","54.53","52.91","3.64M","0.77%"
"2024-12-31","53.21","52.83","53.68","52.52","2.49M","0.72%"
"2024-12-30","52.83","53.55","54.23","52.61","2.77M","-1.60%"
"2024-12-27","53.69","53.48","53.89","53.28","1.43M","0.17%"
"2024-12-26","53.60","53.02","53.61","52.87","1.49M","0.75%"
"2024-12-25","53.20","52.98","53.48","52.54","1.57M","0.42%"
"2024-12-24","52.98","52.21","53.03","52.20","1.92M","0.99%"
"2024-12-23","52.46","52.68","53.24","52.31","1.84M","-0.38%"
"2024-12-20","52.66","52.70","53.59","52.55","1.93M","-0.70%"
"2024-12-19","53.03","53.51","54.30","52.88","2.76M","-1.67%"
"2024-12-18","53.93","53.49","54.34","53.35","2.84M","0.80%"
"2024-12-17","53.50","53.01","54.27","53.01","3.60M","0.30%"
"2024-12-16","53.34","52.80","53.62","52.51","4.18M","1.83%"
"2024-12-13","52.38","54.17","54.18","52.38","5.11M","-3.52%"
"2024-12-12","54.29","53.97","54.65","53.72","4.07M","0.59%"
"2024-12-11","53.97","53.64","54.26","53.62","2.96M","0.39%"
"2024-12-10","53.76","54.88","54.98","53.55","3.63M","-0.46%"
"2024-12-9","54.01","53.96","54.49","53.10","1.80M","0.13%"
"2024-12-6","53.94","53.70","54.18","53.58","1.67M","0.45%"
"2024-12-5","53.70","53.85","54.00","53.09","1.22M","-0.56%"
"2024-12-4","54.00","53.42","54.59","53.10","2.21M","0.93%"
"2024-12-3","53.50","53.25","53.57","52.99","1.06M","0.38%"
"2024-12-2","53.30","52.28","54.01","52.28","2.59M","1.95%"
"2024-11-29","52.28","51.48","52.39","51.44","1.11M","1.34%"
"2024-11-28","51.59","52.45","52.45","51.58","1.24M","-1.73%"
"2024-11-27","52.50","51.90","52.56","51.56","1.09M","0.94%"
"2024-11-26","52.01","52.05","53.00","51.93","1.13M","0.27%"
"2024-11-25","51.87","50.81","53.05","50.80","2.81M","2.09%"
"2024-11-22","50.81","52.10","52.48","50.81","1.39M","-2.70%"
"2024-11-21","52.22","52.25","52.95","52.20","902.19K","-0.53%"
"2024-11-20","52.50","52.24","52.50","52.00","813.08K","0.48%"
"2024-11-19","52.25","52.52","52.80","51.88","1.31M","-0.59%"
"2024-11-18","52.56","53.28","53.52","52.29","1.44M","-1.35%"
"2024-11-15","53.28","52.82","53.85","52.25","2.07M","0.41%"
"2024-11-14","53.06","52.90","53.75","52.62","1.92M","0.13%"
"2024-11-13","52.99","53.10","53.56","52.80","1.66M","-0.45%"
"2024-11-12","53.23","53.13","54.65","53.00","2.87M","0.19%"
"2024-11-11","53.13","53.18","53.58","52.66","1.53M","-0.52%"
"2024-11-8","53.41","54.16","54.49","53.06","2.38M","-0.89%"
"2024-11-7","53.89","52.66","53.98","52.60","2.04M","1.43%"
"2024-11-6","53.13","53.90","53.95","52.88","1.92M","-1.43%"
"2024-11-5","53.90","53.20","54.11","52.54","2.22M","0.62%"
"2024-11-4","53.57","54.00","54.28","52.75","1.95M","-0.61%"
"2024-11-1","53.90","52.03","54.19","51.93","3.70M","3.04%"
"2024-10-31","52.31","52.41","52.56","51.63","1.53M","-0.48%"
"2024-10-30","52.56","53.28","53.90","52.15","2.05M","-1.33%"
"2024-10-29","53.27","53.98","53.98","53.08","1.68M","-1.21%"
"2024-10-28","53.92","53.41","53.95","52.84","1.71M","0.82%"
"2024-10-25","53.48","54.78","54.98","53.01","3.12M","-2.30%"
"2024-10-24","54.74","55.00","55.48","54.30","1.43M","-0.56%"
"2024-10-23","55.05","54.90","55.14","54.01","2.04M","0.20%"
"2024-10-22","54.94","53.20","55.38","53.01","3.52M","3.23%"
"2024-10-21","53.22","53.79","54.00","52.55","2.47M","-1.37%"
"2024-10-18","53.96","53.49","54.99","53.46","2.79M","0.54%"
"2024-10-17","53.67","53.98","55.10","53.64","1.58M","0.06%"
"2024-10-16","53.64","53.21","54.12","53.06","2.04M","-0.57%"
"2024-10-15","53.95","55.30","55.62","53.95","2.98M","-3.33%"
"2024-10-14","55.81","56.58","56.74","55.31","2.80M","-1.03%"
"2024-10-11","56.39","56.97","58.00","55.52","2.79M","-0.81%"
"2024-10-10","56.85","55.50","57.86","55.00","4.60M","4.52%"
"2024-10-9","54.39","57.25","57.25","54.31","3.59M","-6.79%"
"2024-10-8","58.35","64.00","64.30","55.88","7.81M","-0.29%"
"2024-9-30","58.52","56.42","58.87","55.59","3.67M","5.96%"
"2024-9-27","55.23","54.81","56.34","54.26","2.49M","0.75%"
"2024-9-26","54.82","53.42","54.87","52.80","1.46M","2.62%"
"2024-9-25","53.42","52.94","54.28","52.92","1.82M","0.98%"
"2024-9-24","52.90","53.34","53.50","51.45","1.94M","-0.81%"
"2024-9-23","53.33","52.78","53.78","52.78","926.46K","0.72%"
"2024-9-20","52.95","52.46","53.16","52.37","897.20K","0.70%"
"2024-9-19","52.58","53.19","53.20","52.10","1.33M","-0.15%"
"2024-9-18","52.66","52.22","52.84","51.80","877.00K","0.84%"
"2024-9-13","52.22","52.02","52.79","51.85","1.13M","0.40%"
"2024-9-12","52.01","52.01","52.51","51.76","1.17M","0.23%"
"2024-9-11","51.89","50.99","52.16","50.61","1.33M","1.79%"
"2024-9-10","50.98","49.85","51.29","49.69","1.00M","2.37%"
"2024-9-9","49.80","49.81","50.40","49.33","1.03M","-0.72%"
"2024-9-6","50.16","51.22","51.82","49.96","861.20K","-2.70%"
"2024-9-5","51.55","51.16","51.63","50.24","1.29M","1.82%"
"2024-9-4","50.63","50.34","51.38","50.12","1.29M","0.74%"
"2024-9-3","50.26","49.10","51.10","49.10","1.86M","1.62%"
"2024-9-2","49.46","49.79","49.98","49.20","1.71M","-0.68%"
"2024-8-30","49.80","50.65","50.99","49.66","1.93M","-1.68%"
"2024-8-29","50.65","50.20","50.83","49.90","586.20K","0.80%"
"2024-8-28","50.25","50.94","51.10","50.03","1.11M","-1.35%"
"2024-8-27","50.94","50.65","51.97","50.62","1.18M","0.22%"
"2024-8-26","50.83","51.96","52.30","49.80","1.98M","-2.17%"
"2024-8-23","51.96","50.41","52.00","50.32","1.66M","3.07%"
"2024-8-22","50.41","49.53","50.55","49.31","910.79K","1.78%"
"2024-8-21","49.53","50.00","50.00","49.22","583.00K","-1.04%"
"2024-8-20","50.05","49.65","50.05","49.32","792.60K","0.89%"
"2024-8-19","49.61","49.12","49.85","48.85","739.48K","1.04%"
"2024-8-16","49.10","48.61","49.20","48.40","491.90K","0.97%"
"2024-8-15","48.63","48.80","49.07","48.35","732.96K","-0.18%"
"2024-8-14","48.72","48.07","48.93","48.01","750.22K","1.18%"
"2024-8-13","48.15","48.36","48.57","47.70","781.02K","-0.43%"
"2024-8-12","48.36","48.49","49.14","48.20","732.20K","-0.25%"
"2024-8-9","48.48","49.59","49.88","48.45","661.60K","-2.49%"
"2024-8-8","49.72","49.19","49.75","49.01","621.70K","1.06%"
"2024-8-7","49.20","48.81","49.28","48.23","608.37K","0.99%"
"2024-8-6","48.72","48.61","49.05","48.15","745.29K","0.14%"
"2024-8-5","48.65","49.20","49.65","48.25","1.03M","-1.12%"
"2024-8-2","49.20","49.50","49.80","49.00","694.50K","-0.65%"
"2024-8-1","49.52","49.83","50.30","49.42","1.10M","-1.41%"
"2024-7-31","50.23","48.77","50.49","48.45","1.45M","3.38%"
"2024-7-30","48.59","49.39","49.76","48.43","1.13M","-2.37%"
"2024-7-29","49.77","50.49","50.65","49.61","1.60M","-1.37%"
"2024-7-26","50.46","49.32","51.28","48.71","3.21M","3.85%"
"2024-7-25","48.59","46.25","49.59","45.70","2.99M","4.81%"
"2024-7-24","46.36","46.82","47.04","46.16","1.45M","-0.94%"
"2024-7-23","46.80","49.10","49.37","46.80","1.90M","-4.49%"
"2024-7-22","49.00","48.36","49.29","48.31","1.08M","0.84%"
"2024-7-19","48.59","48.90","48.92","48.31","950.33K","-0.80%"
"2024-7-18","48.98","48.15","49.15","48.12","1.05M","0.86%"
"2024-7-17","48.56","48.50","48.70","47.11","1.45M","-0.08%"
"2024-7-16","48.60","48.56","49.10","48.21","930.16K","-0.61%"
"2024-7-15","48.90","48.51","48.96","48.11","1.23M","0.62%"
"2024-7-12","48.60","48.40","49.06","48.38","1.24M","0.31%"
"2024-7-11","48.45","47.60","48.67","47.30","1.39M","2.67%"
"2024-7-10","47.19","47.09","47.72","46.94","957.22K","-0.13%"
"2024-7-9","47.25","47.41","47.54","46.83","1.29M","-0.11%"
"2024-7-8","47.30","47.79","48.09","47.08","1.20M","-1.11%"
"2024-7-5","47.83","47.41","47.91","46.51","1.34M","0.59%"
"2024-7-4","47.55","48.14","48.29","47.36","1.62M","-1.18%"
"2024-7-3","48.12","49.00","49.02","47.81","1.59M","-1.57%"
"2024-7-2","48.89","50.05","50.20","48.80","1.78M","-2.73%"
"2024-7-1","50.26","50.11","50.85","49.18","1.94M","0.32%"
"2024-6-28","50.10","50.11","50.71","49.90","1.56M","-0.63%"
"2024-6-27","50.42","50.87","51.08","50.08","971.43K","-1.02%"
"2024-6-26","50.94","50.99","51.43","50.59","1.16M","0.08%"
"2024-6-25","50.90","50.46","51.52","50.43","1.20M","0.75%"
"2024-6-24","50.52","50.40","51.23","50.02","1.69M","-0.36%"
"2024-6-21","50.70","51.30","51.42","50.58","1.60M","-1.57%"
"2024-6-20","51.51","51.38","51.77","50.70","1.53M","0.25%"
"2024-6-19","51.38","51.89","52.07","51.16","1.82M","-1.12%"
"2024-6-18","51.96","52.43","52.87","51.81","2.92M","-0.95%"
"2024-6-17","52.46","53.92","53.99","52.32","4.20M","-2.71%"
"2024-6-14","53.92","52.65","54.20","52.26","4.75M","2.43%"
"2024-6-13","52.64","52.58","53.09","52.28","2.82M","0.46%"
"2024-6-12","52.40","52.31","52.65","52.15","1.43M","0.27%"
"2024-6-11","52.26","52.17","52.98","52.02","1.69M","-0.38%"
"2024-6-7","52.46","53.71","53.98","52.06","2.05M","-2.11%"
"2024-6-6","53.59","53.73","54.25","53.36","2.10M","0.07%"
"2024-6-5","53.55","53.53","54.25","53.35","2.21M","0.58%"
"2024-6-4","53.24","52.98","53.49","52.61","2.86M","0.81%"
"2024-6-3","52.81","52.93","53.75","52.51","3.93M","-0.49%"
"2024-5-31","53.07","54.04","54.38","53.03","2.14M","-1.39%"
"2024-5-30","53.82","53.12","54.45","53.01","2.88M","1.32%"
"2024-5-29","53.12","53.50","53.86","52.88","2.25M","-1.25%"
"2024-5-28","53.79","54.45","54.45","52.58","2.97M","-6.11%"
"2024-5-27","57.29","56.22","57.32","56.10","2.88M","1.90%"
"2024-5-24","56.22","56.89","57.16","56.18","1.79M","-1.16%"
"2024-5-23","56.88","56.61","57.06","56.31","1.91M","0.44%"
"2024-5-22","56.63","57.15","57.29","56.63","1.72M","-1.17%"
"2024-5-21","57.30","57.54","57.72","56.70","2.34M","0.09%"
"2024-5-20","57.25","57.35","57.77","56.38","2.71M","-0.85%"
"2024-5-17","57.74","57.52","58.40","56.88","2.25M","-0.36%"
"2024-5-16","57.95","59.22","59.22","56.70","3.17M","-2.14%"
"2024-5-15","59.22","58.82","59.59","58.52","1.79M","0.41%"
"2024-5-14","58.98","60.00","60.30","58.72","2.90M","-1.70%"
"2024-5-13","60.00","58.94","60.20","58.26","3.17M","1.69%"
"2024-5-10","59.00","58.84","59.24","58.18","2.02M","0.29%"
"2024-5-9","58.83","58.59","59.26","58.26","1.91M","0.39%"
"2024-5-8","58.60","58.70","59.28","58.50","1.41M","-0.69%"
"2024-5-7","59.01","59.73","60.25","58.82","2.54M","-1.52%"
"2024-5-6","59.92","58.91","60.29","58.70","4.23M","1.73%"
"2024-4-30","58.90","58.00","60.23","57.86","2.77M","0.60%"
"2024-4-29","58.55","58.26","58.82","57.34","2.43M","0.50%"
"2024-4-26","58.26","57.53","59.36","57.02","3.46M","-1.75%"
"2024-4-25","59.30","59.11","59.51","58.55","1.94M","-0.35%"
"2024-4-24","59.51","59.97","59.99","58.27","1.85M","-0.10%"
"2024-4-23","59.57","60.20","60.57","59.05","2.18M","-1.57%"
"2024-4-22","60.52","60.28","61.22","59.51","2.30M","-0.05%"
"2024-4-19","60.55","59.70","60.95","59.70","2.15M","0.17%"
"2024-4-18","60.45","59.10","61.60","59.00","3.31M","1.68%"
"2024-4-17","59.45","59.35","59.64","57.80","2.47M","0.17%"
"2024-4-16","59.35","58.45","59.98","58.03","3.22M","1.40%"
"2024-4-15","58.53","57.19","58.97","57.15","2.57M","2.99%"
"2024-4-12","56.83","55.99","57.56","55.99","2.23M","2.03%"
"2024-4-11","55.70","55.65","56.49","55.20","1.58M","0.18%"
"2024-4-10","55.60","55.60","56.21","55.30","1.00M","-0.07%"
"2024-4-9","55.64","55.95","56.42","55.50","1.26M","-0.57%"
"2024-4-8","55.96","57.30","57.30","55.90","1.85M","-2.34%"
"2024-4-3","57.30","57.50","57.79","56.92","1.25M","-0.43%"
"2024-4-2","57.55","58.34","58.98","57.28","1.98M","-1.67%"
"2024-4-1","58.53","58.07","58.98","55.89","2.90M","0.57%"
"2024-3-29","58.20","56.99","58.30","56.70","1.61M","1.75%"
"2024-3-28","57.20","56.28","57.56","55.52","2.41M","1.73%"
"2024-3-27","56.23","55.19","56.92","55.00","2.03M","2.00%"
"2024-3-26","55.13","54.38","55.69","54.38","2.03M","1.03%"
"2024-3-25","54.57","53.80","55.40","53.80","2.38M","0.31%"
"2024-3-22","54.40","54.58","54.77","53.76","1.60M","-0.17%"
"2024-3-21","54.49","55.68","55.99","54.27","1.71M","-2.35%"
"2024-3-20","55.80","56.00","56.26","55.45","1.60M","-0.84%"
"2024-3-19","56.27","56.24","56.99","56.20","1.56M","-0.64%"
"2024-3-18","56.63","58.27","58.89","56.44","2.26M","-2.81%"
"2024-3-15","58.27","57.79","58.45","57.71","1.38M","0.48%"
"2024-3-14","57.99","58.35","58.59","57.52","1.35M","-0.62%"
"2024-3-13","58.35","57.46","58.96","57.01","2.63M","0.85%"
"2024-3-12","57.86","58.09","59.12","57.45","2.66M","-0.75%"
"2024-3-11","58.30","58.21","58.49","57.28","1.75M","0.15%"
"2024-3-8","58.21","57.03","58.42","57.02","2.58M","1.27%"
"2024-3-7","57.48","56.03","58.12","55.50","3.74M","2.59%"
"2024-3-6","56.03","55.45","56.53","54.52","2.71M","0.72%"
"2024-3-5","55.63","54.71","55.94","54.62","2.37M","1.15%"
"2024-3-4","55.00","54.39","55.17","53.65","3.08M","1.12%"
"2024-3-1","54.39","54.86","55.19","54.20","1.88M","-1.61%"
"2024-2-29","55.28","53.56","55.35","53.40","2.95M","3.12%"
"2024-2-28","53.61","53.93","54.40","53.58","2.30M","-0.56%"
"2024-2-27","53.91","53.86","54.70","53.42","2.07M","-0.35%"
"2024-2-26","54.10","54.00","54.74","53.43","2.93M","1.46%"
"2024-2-23","53.32","54.11","54.60","53.11","2.42M","-1.68%"
"2024-2-22","54.23","53.43","54.33","53.09","2.40M","0.97%"
"2024-2-21","53.71","53.60","55.30","53.02","3.80M","-1.03%"
"2024-2-20","54.27","53.77","54.29","53.28","2.58M","-0.24%"
"2024-2-19","54.40","58.38","58.38","53.21","5.16M","-6.72%"
"2024-2-8","58.32","58.30","59.47","57.33","3.60M","0.71%"
"2024-2-7","57.91","54.47","58.87","54.16","5.18M","6.63%"
"2024-2-6","54.31","51.66","55.37","51.51","4.04M","4.24%"
"2024-2-5","52.10","49.61","53.50","49.41","3.00M","5.02%"
"2024-2-2","49.61","49.41","50.89","48.89","1.81M","0.47%"
"2024-2-1","49.38","49.83","50.45","49.32","2.18M","-2.51%"
"2024-1-31","50.65","50.24","52.62","49.81","3.00M","0.50%"
"2024-1-30","50.40","51.40","51.40","50.21","2.32M","-2.59%"
"2024-1-29","51.74","51.16","55.00","51.16","2.22M","0.49%"
"2024-1-26","51.49","51.54","51.99","51.21","1.25M","-0.10%"
"2024-1-25","51.54","50.50","51.80","50.01","1.11M","2.06%"
"2024-1-24","50.50","50.04","50.73","49.57","1.97M","0.96%"
"2024-1-23","50.02","50.17","50.39","49.27","1.74M","-0.87%"
"2024-1-22","50.46","51.94","52.26","50.01","1.55M","-2.87%"
"2024-1-19","51.95","51.72","52.25","51.30","1.34M","0.62%"
"2024-1-18","51.63","51.69","52.19","50.13","2.22M","-1.07%"
"2024-1-17","52.19","52.31","53.10","52.19","1.57M","-0.57%"
"2024-1-16","52.49","52.88","52.95","52.18","971.20K","-0.04%"
"2024-1-15","52.51","52.23","53.06","52.02","1.41M","0.59%"
"2024-1-12","52.20","52.32","52.97","52.03","1.24M","-0.15%"
"2024-1-11","52.28","54.10","54.10","52.28","1.21M","-3.01%"
"2024-1-10","53.90","53.75","54.33","53.53","1.25M","0.28%"
"2024-1-9","53.75","53.74","53.88","53.19","1.61M","0.26%"
"2024-1-8","53.61","54.01","54.16","53.16","2.21M","-0.74%"
"2024-1-5","54.01","53.15","54.55","52.66","2.46M","1.22%"
"2024-1-4","53.36","52.40","53.74","51.95","1.49M","1.81%"
"2024-1-3","52.41","52.14","52.91","52.10","1.10M","0.44%"
"2024-1-2","52.18","53.17","53.77","52.15","1.28M","-1.57%"
"2023-12-29","53.01","52.80","53.80","52.80","861.82K","-0.02%"
"2023-12-28","53.02","53.19","53.59","52.45","1.02M","-0.30%"
